,phase,pid,total_trials,trial_id,filter_cost,n_starting_guesses,whose_guess,true_word,guess,guess_number,human_guess_number,time_elapsed_curr,time_elapsed_trial,n_green,n_yellow,current_time,start_time,uniqueid,true_code,prev_exp,age,n_remaining_prev,n_remaining_post
104,TEST,1517314,10,2,None,0,Human,1412,1412,11,11,18.075,302.913,4,0,1714756237338,1714755934425,debug6jSBD:debugfAo4W,1412,0,25,1,1
105,TEST,1517314,10,3,Simple,2,Model,2312,1111,0,0,0.0,0.0,1,0,1714756240238,1714756240238,debug6jSBD:debugfAo4W,2312,0,25,256,108
106,TEST,1517314,10,3,Simple,2,Model,2312,4414,1,0,0.0,0.0,1,0,1714756240238,1714756240238,debug6jSBD:debugfAo4W,2312,0,25,108,8
107,TEST,1517314,10,3,Simple,2,Human,2312,2313,2,0,19.274,19.274,3,0,1714756259512,1714756240238,debug6jSBD:debugfAo4W,2312,0,25,8,3
108,TEST,1517314,10,3,Simple,2,Human,2312,3313,3,1,15.273,34.547,2,0,1714756274785,1714756240238,debug6jSBD:debugfAo4W,2312,0,25,3,2
109,TEST,1517314,10,3,Simple,2,Human,2312,2113,4,2,14.15,48.697,2,1,1714756288935,1714756240238,debug6jSBD:debugfAo4W,2312,0,25,2,1
110,TEST,1517314,10,3,Simple,2,Human,2312,2113,5,3,49.872,98.569,2,1,1714756338807,1714756240238,debug6jSBD:debugfAo4W,2312,0,25,1,1
111,TEST,1517314,10,3,Simple,2,Human,2312,2113,6,4,6.672,105.241,2,1,1714756345479,1714756240238,debug6jSBD:debugfAo4W,2312,0,25,1,1
112,TEST,1517314,10,3,Simple,2,Human,2312,2444,7,5,2.618,107.859,1,0,1714756348097,1714756240238,debug6jSBD:debugfAo4W,2312,0,25,1,1
113,TEST,1517314,10,3,Simple,2,Human,2312,2113,8,6,11.145,119.004,2,1,1714756359242,1714756240238,debug6jSBD:debugfAo4W,2312,0,25,1,1
114,TEST,1517314,10,3,Simple,2,Human,2312,2313,9,7,11.017,130.021,3,0,1714756370259,1714756240238,debug6jSBD:debugfAo4W,2312,0,25,1,1
115,TEST,1517314,10,3,Simple,2,Human,2312,2311,10,8,8.16,138.181,3,0,1714756378419,1714756240238,debug6jSBD:debugfAo4W,2312,0,25,1,1
116,TEST,1517314,10,3,Simple,2,Human,2312,2313,11,9,3.766,141.947,3,0,1714756382185,1714756240238,debug6jSBD:debugfAo4W,2312,0,25,1,1
117,TEST,1517314,10,3,Simple,2,Human,2312,2311,12,10,3.095,145.042,3,0,1714756385280,1714756240238,debug6jSBD:debugfAo4W,2312,0,25,1,1
118,TEST,1517314,10,3,Simple,2,Human,2312,2312,13,11,8.915,153.957,4,0,1714756394195,1714756240238,debug6jSBD:debugfAo4W,2312,0,25,1,1
